(0x8d5a8180, 0x6810002c)
(0x2d5a00c0, 0x6810408c)
(0x0d588080, 0x681100ac)
(0xad5801c0, 0x6811400c)
(0x20548080, 0x6e94008c)
(0x81548180, 0x6e14002c)
(0x215400c0, 0x6e14408c)
(0x8d0a0080, 0x381040ac)
(0x0d080180, 0x3811402c)
(0x81040080, 0x3e1440ac)
(0x8d198082, 0x2910002c)
(0x881b0080, 0x2b90002d)
(0x28198082, 0x2b91008c)
(0x88190180, 0x2b91002d)
(0x29190080, 0x2b11008d)
(0x090a0002, 0x3b10c02c)
(0x00598084, 0x73900084)
(0x015900c4, 0x73104084)
(0x00080104, 0x2390c004)
(0x01088144, 0x23108004)
(0xa1080004, 0x2310c0a4)
(0x00090184, 0x23904004)
(0x010981c4, 0x23100004)
(0xa1090084, 0x231040a4)
(0x40220046, 0x0380c000)
(0x80220040, 0x2180cc84)
(0x802300c0, 0x21804c84)
(0x002101c0, 0x21814c04)
(0x00021046, 0x2390c000)
(0x81260880, 0x340840a0)
(0x01240980, 0x34094020)
(0x81240800, 0x3508c0a0)
(0x01340102, 0x3701c020)
(0x81250880, 0x350840a0)
(0xa853848c, 0x6b940008)
(0x8951848c, 0x6b150028)
(0xa95304cc, 0x6b144008)
(0x8013048c, 0x6bb44020)
(0x2c5b808c, 0x69900088)
(0xac59818c, 0x69910008)
(0x8d5b818c, 0x69100028)
(0x2d5b00cc, 0x69104088)
(0x0d59808c, 0x691100a8)
(0xad5901cc, 0x69114008)
(0x041b008c, 0x69b040a0)
(0x8419018c, 0x69b14020)
(0xa6548188, 0x6c95000a)
(0x24578088, 0x6d94008a)
(0x26568088, 0x6c94008a)
(0x07548088, 0x6c1500aa)
(0xa75401c8, 0x6c15400a)
(0x85578188, 0x6d14002a)
(0x255700c8, 0x6d14408a)
(0x87568188, 0x6c14002a)
(0x275600c8, 0x6c14408a)
(0x8d0a000c, 0x3910c0a8)
(0x0903048c, 0x3b144028)
(0x8d0b008c, 0x391040a8)
(0x0d09018c, 0x39114028)
(0x07040188, 0x3c15402a)
(0x85070088, 0x3d1440aa)
(0x87060088, 0x3c1440aa)
(0x80a20044, 0x8380c0c0)
(0x022101c2, 0x20814c04)
(0x822300c2, 0x20804c84)
(0xa413818c, 0x2d940208)
(0x0513808c, 0x2d1402a8)
(0xa51301cc, 0x2d144208)
(0xa811808c, 0x2b950208)
(0xa91100cc, 0x2b154208)
(0x8502000c, 0x3d14c2a8)
(0x8703008c, 0x3c1442a8)
(0x030b008e, 0x3e104028)
(0x0b03008c, 0x3a144228)
(0x0f09018e, 0x38114028)
(0x8f0b008e, 0x381040a8)
(0x01082088, 0x2b39c020)
(0x010a2188, 0x2b38c020)
(0x80090084, 0x23904084)
(0x41830140, 0x01004c44)
(0xc1810040, 0x01014cc4)
(0x018201c0, 0x0100cc04)
(0x818000c0, 0x0101cc84)
(0x40038100, 0x01800c44)
(0xc0018000, 0x01810cc4)
(0x002301c0, 0x21804c04)
(0x802100c0, 0x21814c84)
(0x41050900, 0x15084060)
(0x01250980, 0x35084020)
(0x021f0180, 0x2e500004)
(0x001e0100, 0x2f508004)
(0x0f8a0188, 0xb810402a)
(0x050e01d4, 0x8540e010)
(0x402100c4, 0x03814000)
(0x00a20145, 0x0380c040)
(0x00224144, 0x83c0c040)
(0x000110c4, 0x23914000)
(0x05320180, 0x34024020)
(0x85300080, 0x340340a0)
(0x01310080, 0x37034020)
(0x05b60180, 0xb4004020)
(0x83190280, 0x2e530085)
(0x82188280, 0x2ed38085)
(0x811c0000, 0x2f518085)
(0x801d8000, 0x2fd10085)
