(0x88401801, 0x404a6120)
(0xc8010808, 0x41321982)
(0xc8211800, 0x41221182)
(0xc0611800, 0x4102118a)
(0x08462881, 0x0100818a)
(0x0a462801, 0x0000018a)
(0x8b442801, 0x0000010b)
(0x890c2801, 0x08280109)
(0x810c0811, 0x08281101)
(0x910d0801, 0x04281109)
(0x990c0801, 0x00281109)
(0x42261905, 0x00001108)
(0x40271901, 0x0100110a)
(0x80000010, 0x02381ca2)
(0xca261101, 0x50281500)
(0xca361905, 0x50201100)
(0xc8371901, 0x51201102)
(0xc2340104, 0x56201800)
(0xc0350100, 0x57201802)
(0xc4001001, 0x44321084)
(0xc0021001, 0x46321084)
(0x88061801, 0x612091c2)
(0x80461801, 0x610091ca)
(0xca040a09, 0x40301882)
(0xca241a01, 0x40201082)
(0xc2641a01, 0x4000108a)
(0x80040000, 0x672098c2)
(0xce000006, 0x40321b80)
(0xc2140100, 0x04603442)
(0x93000390, 0x223e1c05)
(0x40401980, 0x42180004)
(0x40501184, 0x42100404)
(0xca403180, 0x0218040c)
(0xc2003180, 0x02380404)
(0xc2443182, 0x0618060c)
(0xc2543986, 0x0610020c)
(0x02301807, 0x28265328)
(0x08301013, 0x28265722)
(0x88672981, 0x2100010a)
(0x8a662985, 0x20000108)
(0xc8070841, 0x412041ca)
(0xca060845, 0x402041c8)
(0x88270841, 0x612041ca)
(0x8a260845, 0x602041c8)
(0x8a202384, 0x22220800)
(0xca400244, 0x420248c0)
(0x4c440301, 0x40000840)
(0x40480911, 0x4c0a0040)
(0x89202390, 0x2a2e0403)
(0xc9400250, 0x4a0e44c3)
(0x40480b01, 0x4c080048)
(0x93040091, 0x223d1d05)
(0x60001908, 0x0318c022)
(0xc0009848, 0x03188082)
(0x40001948, 0x0318c002)
(0xc0040900, 0x4738c82a)
(0x40040800, 0x4738c8aa)
(0xe0240800, 0x07289882)
(0xc0041918, 0x4738c022)
(0xc0240910, 0x4728c822)
(0x40041818, 0x4738c0a2)
(0x40240810, 0x4728c8a2)
(0xc0442190, 0x06180c02)
(0xc0040180, 0x06381c02)
(0xc8142141, 0x03b48d03)
(0xca5400c1, 0x42940d83)
(0xc8403188, 0x0218040a)
(0xc0003188, 0x02380402)
(0xc8402180, 0x02180c0a)
(0x465418c1, 0x40900103)
(0xca40398c, 0x02180008)
(0xc8413988, 0x0318000a)
(0xc200398c, 0x02380000)
(0xc0013988, 0x03380002)
(0xc0452980, 0x0718080a)
(0xc2442984, 0x06180808)
(0xca403908, 0x0218800a)
(0xc2003908, 0x02388002)
(0x42401988, 0x42180002)
(0x84104204, 0x48d61c2d)
(0x84144105, 0x48d51d2d)
(0xb3501101, 0x0415150b)
(0xa25e0001, 0x0a101d0e)
(0x02540001, 0x0a951daf)
(0xa3540101, 0x0a151d0f)
(0xbb541111, 0x00151503)
(0xb3541111, 0x04151503)
(0x40581004, 0x48100460)
(0x42581802, 0x48100262)
(0x5858020c, 0x40120c60)
(0x0a184000, 0x8800442a)
(0x021c4010, 0x8c004422)
(0x0a984813, 0x08024322)
(0x0b504010, 0xc8064523)
(0x03504010, 0xcc064523)
(0x08584812, 0xc9024322)
(0x88583813, 0x09124322)
(0xc9103811, 0x41526323)
(0x89183811, 0x49124323)
(0x4b584c00, 0xc800416b)
(0x53544810, 0xc4044163)
(0x435c4c10, 0xcc004163)
(0xcb583c01, 0x0810416b)
(0xcd542115, 0x08154d65)
(0x4d542015, 0x08154de5)
(0x4d842890, 0x883d49a5)
(0xc35c3c11, 0x0c104163)
(0x4c7cc085, 0x40400d20)
(0x8c1c2005, 0x20204d60)
(0x46505050, 0x40501486)
(0x4e507040, 0x4050048e)
(0x06106100, 0x00600406)
(0xc2101000, 0x005024a2)
(0xa2185110, 0x48501402)
(0x86180004, 0x48921d2d)
(0x00104204, 0x4ad61cad)
(0xa7104300, 0x48561c0f)
(0x42141050, 0x44702482)
(0x025c7110, 0x0c500402)
(0x4a100048, 0x40702c8a)
(0x0a586108, 0x08500c0a)
(0x02584118, 0x08501c02)
(0x0a587100, 0x0850040a)
(0x21500204, 0x0a161c8d)
(0x84510300, 0x09961c2f)
(0x86500300, 0x08961c2f)
(0x82046110, 0x46080424)
(0xa0044900, 0x06281004)
(0xa0144104, 0x06201404)
(0x40500a09, 0x1112988a)
(0xe5580001, 0x08121d4f)
(0xc4580001, 0x08921d6f)
(0xe7500c05, 0x0816194d)
(0xc6500c05, 0x0896196d)
(0x70381a01, 0x0122908a)
(0xc0145d00, 0x87b09027)
(0x00344c01, 0x27a090a7)
(0x80073841, 0x01300182)
(0x82063845, 0x00300180)
(0x02445851, 0x00d01103)
(0x00561891, 0x11109182)
(0x02561811, 0x10101182)
(0x83541811, 0x10101103)
(0x00560889, 0x1110998a)
(0x02560809, 0x1010198a)
(0x8a202304, 0x62220800)
(0x8a060905, 0x60301100)
(0x88070901, 0x61301102)
(0x90981000, 0xc490152b)
(0x981c5005, 0x40d01529)
(0x12125001, 0x44d415ab)
(0x849c0100, 0xc8911d2f)
(0x861c0205, 0x48901c2d)
(0x821e0205, 0x4a901c2d)
(0x00144005, 0x4ad41dad)
(0x04164005, 0x48d41dad)
(0xa21c5101, 0x4850150a)
(0xa7144101, 0x48541d0f)
(0xa3164101, 0x4a541d0f)
(0x86940c04, 0xc894192d)
(0x82960c04, 0xca94192d)
(0x929c1804, 0xc0901129)
(0x82941c04, 0xc8941129)
(0x989c1010, 0xc0901523)
(0x1a165011, 0x40d415a3)
(0x02587101, 0x0c50050a)
(0x07506101, 0x0c540d0f)
(0x03526101, 0x0e540d0f)
(0xc82c2111, 0x4a200d02)
(0xca2c2915, 0x4a200900)
(0xc82d2911, 0x4b200902)
(0xb95c1005, 0x00101509)
(0x33521001, 0x0414158b)
(0x90531101, 0x0594152b)
(0xa75c0005, 0x08101d0d)
(0x21540005, 0x0a141d8d)
(0x25560005, 0x08141d8d)
(0x84550101, 0x09941d2f)
(0x80570101, 0x0b941d2f)
(0x025c0005, 0x0a911dad)
(0x86540101, 0x08941d2f)
(0x82560101, 0x0a941d2f)
(0x84560105, 0x08941d2d)
(0x80540005, 0x0a951d2d)
(0x21570001, 0x0b141d8f)
(0xa35c0105, 0x0a111d0d)
(0x23560001, 0x0a141d8f)
(0x225e1803, 0x0810138a)
(0x84140805, 0x49941b2d)
(0x385e001d, 0x00101d80)
(0x3b561011, 0x00141583)
(0x98571111, 0x01941523)
(0xca06090d, 0x40301900)
(0xca261905, 0x40201100)
(0xc8070909, 0x41301902)
(0xc8271901, 0x41201102)
(0xc2661905, 0x40001108)
(0xc0671901, 0x4100110a)
(0xc204110c, 0x46301000)
(0xc2240104, 0x46201800)
(0xc0051108, 0x47301002)
(0xc0250100, 0x47201802)
(0x80046118, 0x46080422)
(0x8204691c, 0x46080020)
(0x80056918, 0x47080022)
(0xac1c420d, 0x00000480)
(0x86006a00, 0x00aa0023)
(0xa2044908, 0x06281002)
(0xa81c610d, 0x02200500)
(0x00244990, 0x66684024)
(0x00344194, 0x66604424)
(0xca583100, 0x0810446a)
(0xc25c2118, 0x0c104c62)
(0xc25c3110, 0x0c104462)
