(0x82a22134, 0xe000a000)
(0x8aa20124, 0xe000b008)
(0x82232014, 0x20000080)
(0x8a230004, 0x20001088)
(0x02202034, 0x6001a080)
(0x0a200024, 0x6001b088)
(0x80222010, 0x21000082)
(0x88220000, 0x2100108a)
(0x84000912, 0x50091000)
(0x04000812, 0x50091080)
(0x04200812, 0x30091080)
(0x80610014, 0x71081400)
(0x88910100, 0xd101100a)
(0x80912110, 0xd1010002)
(0x88810900, 0xd109100a)
(0x80812910, 0xd1090002)
(0x8a920100, 0xd000100a)
(0x0a900000, 0xd001108a)
(0x82922110, 0xd0000002)
(0x02902010, 0xd0010082)
(0x8a820900, 0xd008100a)
(0x0a800800, 0xd009108a)
(0x80820114, 0xd0081400)
(0x00800014, 0xd0091480)
(0x82822910, 0xd0080002)
(0x02802810, 0xd0090082)
(0xa8810900, 0xc109100a)
(0xa0812910, 0xc1090002)
(0xaa820900, 0xc008100a)
(0x2a800800, 0xc009108a)
(0xa0820114, 0xc0081400)
(0x20800014, 0xc0091480)
(0xa2822910, 0xc0080002)
(0x22802810, 0xc0090082)
(0x82a221b0, 0xe0002002)
(0x8aa201a0, 0xe000300a)
(0x00a02011, 0x61018082)
(0x08a00001, 0x6101908a)
(0x80220010, 0x20001884)
(0x28e00900, 0xa109900a)
(0x20e02910, 0xa1098002)
(0x82600010, 0x70081402)
(0x00220110, 0x20001804)
(0x82a20110, 0xe0200002)
(0x02a00010, 0xe0210082)
(0x8aa28000, 0xe000108a)
(0x2aa20900, 0xa008100a)
(0xaaa00800, 0xa009108a)
(0x20a20114, 0xa0081400)
(0xa0a00014, 0xa0091480)
(0x22a22910, 0xa0080002)
(0xa2a02810, 0xa0090082)
(0x88f10100, 0xf101100a)
(0x00a12110, 0xa1010002)
(0x80f12110, 0xf1010002)
(0x08a10100, 0xa101100a)
(0x88e10900, 0xf109100a)
(0x80e12910, 0xf1090002)
(0x0ab20100, 0xb000100a)
(0x8ab00000, 0xb001108a)
(0x02a22110, 0xa0000002)
(0x82a02010, 0xa0010082)
(0x02b22110, 0xb0000002)
(0x82b02010, 0xb0010082)
(0x0aa20100, 0xa000100a)
(0x8aa00000, 0xa001108a)
(0x0aa20900, 0xb008100a)
(0x8aa00800, 0xb009108a)
(0x00a20114, 0xb0081400)
(0x80a00014, 0xb0091480)
(0x02a22910, 0xb0080002)
(0x82a02810, 0xb0090082)
(0x86230814, 0x20001080)
(0x00310814, 0x33011000)
(0x00210814, 0x23011000)
(0x04300016, 0x30011480)
